"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Kentucky"	"21"	"Male"	"M"	613	1765300	34.725	31.976	37.474	1.403	34.825	32.004	37.646	1.439
"Total"	"Kentucky"	"21"			759	3615896	20.991	19.497	22.484	0.762	21.175	19.630	22.720	0.788
	"Louisiana"	"22"	"Female"	"F"	159	1941518	8.189	6.917	9.462	0.649	8.500	7.146	9.854	0.691
	"Louisiana"	"22"	"Male"	"M"	555	1818616	30.518	27.979	33.057	1.295	30.632	28.032	33.231	1.326
"Total"	"Louisiana"	"22"			714	3760134	18.989	17.596	20.382	0.711	19.202	17.763	20.640	0.734
	"Maine"	"23"	"Female"	"F"	57	581036	9.810	7.430	12.710	1.299	9.160	6.798	12.076	1.292
	"Maine"	"23"	"Male"	"M"	214	548469	39.018	33.790	44.245	2.667	39.417	33.901	44.932	2.814
"Total"	"Maine"	"23"			271	1129505	23.993	21.136	26.849	1.457	23.645	20.674	26.615	1.516
	"Maryland"	"24"	"Female"	"F"	139	2570323	5.408	4.509	6.307	0.459	5.279	4.380	6.178	0.459
	"Maryland"	"24"	"Male"	"M"	483	2364946	20.423	18.602	22.245	0.929	20.144	18.313	21.974	0.934
"Total"	"Maryland"	"24"			622	4935269	12.603	11.613	13.594	0.505	12.336	11.346	13.325	0.505
	"Massachusetts"	"25"	"Female"	"F"	161	2980418	5.402	4.567	6.236	0.426	5.594	4.700	6.487	0.456
	"Massachusetts"	"25"	"Male"	"M"	515	2758164	18.672	17.059	20.284	0.823	18.816	17.153	20.479	0.848
"Total"	"Massachusetts"	"25"			676	5738582	11.780	10.892	12.668	0.453	11.894	10.972	12.815	0.470
	"Michigan"	"26"	"Female"	"F"	301	4187077	7.189	6.377	8.001	0.414	7.380	6.513	8.247	0.442
	"Michigan"	"26"	"Male"	"M"	1138	3991790	28.509	26.852	30.165	0.845	28.573	26.865	30.282	0.872
"Total"	"Michigan"	"26"			1439	8178867	17.594	16.685	18.503	0.464	17.681	16.737	18.626	0.482
	"Minnesota"	"27"	"Female"	"F"	153	2270163	6.740	5.672	7.808	0.545	6.759	5.660	7.858	0.561
	"Minnesota"	"27"	"Male"	"M"	621	2223712	27.926	25.730	30.123	1.121	28.207	25.944	30.470	1.154
"Total"	"Minnesota"	"27"			774	4493875	17.223	16.010	18.437	0.619	17.410	16.155	18.664	0.640
	"Mississippi"	"28"	"Female"	"F"	85	1248845	6.806	5.437	8.416	0.738	7.285	5.785	9.055	0.807
	"Mississippi"	"28"	"Male"	"M"	353	1144998	30.830	27.614	34.046	1.641	31.779	28.391	35.167	1.729
"Total"	"Mississippi"	"28"			438	2393843	18.297	16.583	20.010	0.874	18.808	17.008	20.608	0.918
	"Missouri"	"29"	"Female"	"F"	227	2551475	8.897	7.739	10.054	0.591	8.717	7.543	9.890	0.599
	"Missouri"	"29"	"Male"	"M"	912	2415807	37.751	35.301	40.202	1.250	38.448	35.897	40.999	1.302
"Total"	"Missouri"	"29"			1139	4967282	22.930	21.598	24.262	0.679	23.244	21.858	24.631	0.707
	"Montana"	"30"	"Female"	"F"	63	428460	14.704	11.299	18.813	1.853	15.065	11.410	19.518	1.988
	"Montana"	"30"	"Male"	"M"	244	430961	56.618	49.513	63.722	3.625	57.772	50.299	65.244	3.813
"Total"	"Montana"	"30"			307	859421	35.722	31.726	39.718	2.039	36.281	32.069	40.494	2.149
	"Nebraska"	"31"	"Female"	"F"	54	767749	7.034	5.284	9.177	0.957	7.598	5.674	9.964	1.056
	"Nebraska"	"31"	"Male"	"M"	216	754012	28.647	24.826	32.467	1.949	29.262	25.285	33.239	2.029
"Total"	"Nebraska"	"31"			270	1521761	17.743	15.626	19.859	1.080	18.339	16.105	20.574	1.140
	"Nevada"	"32"	"Female"	"F"	163	1214998	13.416	11.356	15.475	1.051	13.464	11.354	15.574	1.077
	"Nevada"	"32"	"Male"	"M"	461	1212171	38.031	34.559	41.503	1.771	38.212	34.658	41.766	1.813
"Total"	"Nevada"	"32"			624	2427169	25.709	23.692	27.726	1.029	25.682	23.630	27.735	1.047
	"New Hampshire"	"33"	"Female"	"F"	59	574930	10.262	7.812	13.237	1.336	11.213	8.399	14.667	1.540
	"New Hampshire"	"33"	"Male"	"M"	206	557862	36.927	31.884	41.969	2.573	37.236	31.989	42.483	2.677
"Total"	"New Hampshire"	"33"			265	1132792	23.394	20.577	26.210	1.437	24.065	21.050	27.080	1.538
	"New Jersey"	"34"	"Female"	"F"	201	3811705	5.273	4.544	6.002	0.372	5.345	4.585	6.105	0.388
	"New Jersey"	"34"	"Male"	"M"	586	3565035	16.437	15.107	17.768	0.679	16.114	14.785	17.443	0.678
"Total"	"New Jersey"	"34"			787	7376740	10.669	9.923	11.414	0.380	10.489	9.740	11.238	0.382
	"New Mexico"	"35"	"Female"	"F"	106	855599	12.389	10.030	14.747	1.203	12.447	9.998	14.897	1.250
	"New Mexico"	"35"	"Male"	"M"	378	828014	45.651	41.049	50.254	2.348	46.416	41.632	51.201	2.441
"Total"	"New Mexico"	"35"			484	1683613	28.748	26.187	31.309	1.307	29.206	26.535	31.878	1.363
	"New York"	"36"	"Female"	"F"	396	8530010	4.642	4.185	5.100	0.233	4.753	4.271	5.234	0.246
	"New York"	"36"	"Male"	"M"	1281	7878644	16.259	15.369	17.150	0.454	16.153	15.250	17.056	0.461
"Total"	"New York"	"36"			1677	16408654	10.220	9.731	10.709	0.250	10.192	9.693	10.692	0.255
	"North Carolina"	"37"	"Female"	"F"	337	4340328	7.764	6.935	8.593	0.423	7.946	7.074	8.818	0.445
	"North Carolina"	"37"	"Male"	"M"	1164	4031666	28.871	27.213	30.530	0.846	29.022	27.321	30.722	0.868
"Total"	"North Carolina"	"37"			1501	8371994	17.929	17.022	18.836	0.463	17.911	16.985	18.836	0.472
